id,temp,humidity,aqi
1,16,35,40
2,16,35,39
3,16,34,39
4,16,34,39
5,16,34,39
6,16,34,39
7,16,34,39
8,16,34,39
9,16,34,39
10,16,34,39
11,16,34,39
12,16,34,39
13,16,34,40
14,16,34,39
15,16,34,39
16,16,34,40
17,17,33,40
18,17,33,41
19,17,33,40
20,17,33,41
21,16,34,41
22,17,33,41
23,17,33,41
24,17,33,41
25,17,33,41
26,17,33,42
27,17,33,42
28,17,33,42
29,17,33,42
30,17,33,42
31,17,33,43
32,17,33,42
33,17,33,42
34,17,33,42
35,17,33,42
36,17,33,43
37,17,33,42
38,17,33,43
39,17,33,42
40,17,33,42
41,17,33,42
42,17,33,42
43,17,33,42
44,17,33,43
45,17,33,43
46,17,33,43
47,17,33,42
48,17,33,43
49,17,33,43
50,17,33,43
51,17,33,43
52,17,33,42
53,17,33,43
54,17,33,43
55,17,33,43
56,17,33,44
57,17,33,43
58,17,33,43
59,17,33,43
60,17,33,43
61,17,33,43
62,17,33,44
63,17,33,43
64,17,33,43
65,17,33,44
66,17,33,44
67,17,33,44
68,17,33,44
69,17,33,44
70,17,33,44
71,17,33,44
72,17,33,44
73,17,33,44
74,17,33,44
75,17,33,44
76,17,33,44
77,17,33,44
78,17,33,44
79,17,33,44
80,17,33,44
81,18,33,44
82,18,33,44
83,18,33,44
84,18,33,44
85,18,33,44
86,18,33,44
87,18,33,44
88,18,33,44
89,18,33,44
90,18,33,44
91,18,33,44
92,18,33,44
93,18,33,44
94,18,33,44
95,18,33,44
96,18,33,44
97,18,33,44
98,18,33,44
99,18,33,44
100,18,33,44
